Protocol,Source IP,Source Port,Destination IP,Destination Port,Start Time,End Time,Duration,NAT IP,NAT Port,Device,UserID,SubscriberID,CustName,Address,Email,Phone,Alt-Phone,CustID,IP Type,Latitude,Longitude,B-Phone,B-SubscriberID,B-CustName
UDP,10.123.209.87,40658,155.221.61.123,53,2025-08-23-11:31:22,2025-08-23-11:32:30,68,185.92.236.46,46155,BRAS-009,user0231,SUB100231,Myra Reddy,"20, MG Road, Bengaluru, India",myra.reddy745@gmail.com,919547812914,919547812834,CUST200231,static,12.92391,77.53241,+919106227060,404454985341781,Diya Mishra
TCP,192.168.237.87,37896,126.20.197.150,443,2025-08-23-06:33:00,2025-08-23-06:36:54,234,33.52.225.92,41282,BRAS-008,user0083,SUB100083,Diya Verma,"239, Station Rd, Pune, India",diya.verma327@gmail.com,917750606853,917750606153,CUST200083,dynamic,18.54835,73.86825,+919649928042,SUB115241,Aarav Rao
TCP,172.16.6.122,31490,188.202.186.57,80,2025-08-23-07:32:55,2025-08-23-07:33:57,62,30.66.210.185,2595,CGNAT-003,user0054,SUB100054,Aditya Reddy,"76, Nehru Marg, Mumbai, India",aditya.reddy589@yahoo.com,918946474367,918946474369,CUST200054,static,19.10121,72.82588,+919908758219,404451409252690,Sai Singh
TCP,192.168.89.131,42803,163.255.143.211,80,2025-08-28-10:15:13,2025-08-28-10:18:01,168,143.119.99.225,53848,BRAS-009,user0093,SUB100093,Ayaan Das,"17, JLN Marg, Bengaluru, India",ayaan.das727@yahoo.com,919394731217,919394731715,CUST200093,dynamic,12.9771,77.55787,+919846268754,SUB470702,Pari Mishra
TCP,192.168.76.224,22252,175.146.239.35,5060,2025-08-27-12:25:42,2025-08-27-12:28:22,160,129.182.105.82,37068,CGNAT-002,user0283,SUB100283,Sai Gupta,"85, Church Street, Kolkata, India",sai.gupta24@example.in,918211039240,918211039147,CUST200283,static,22.56781,88.34431,,,Ishaan Jain
TCP,10.213.0.194,22684,121.120.220.133,22,2025-08-23-01:17:40,2025-08-23-01:18:11,31,44.246.7.60,13739,BRAS-005,user0023,SUB100023,Diya Iyer,"54, Gandhi Path, Chennai, India",diya.iyer294@yahoo.com,919482366299,919482366680,CUST200023,dynamic,13.10884,80.27741,+917990030201,404453174349778,Aarohi Tiwari
TCP,100.121.23.124,59739,200.179.129.95,22,2025-08-23-15:04:17,2025-08-23-15:04:43,26,221.127.87.210,36214,BRAS-002,user0045,SUB100045,Myra Iyer,"83, Station Rd, Jaipur, India",myra.iyer259@yahoo.com,919551256746,919551256071,CUST200045,dynamic,26.93236,75.78435,,SUB945772,Sai Iyer
TCP,76.161.202.190,38048,142.32.23.226,443,2025-08-25-00:40:53,2025-08-25-00:43:14,141,76.161.202.190,0,BRAS-007,user0170,SUB100170,Aditya Das,"27, Park Street, Ahmedabad, India",aditya.das474@gmail.com,917568044206,917568044883,CUST200170,static,22.95376,72.58053,+916197258951,404451083028000,Aadhya Kumar
TCP,192.168.204.175,5363,215.58.174.124,443,2025-08-29-12:20:53,2025-08-29-12:23:33,160,203.184.107.225,24197,CGNAT-002,user0033,SUB100033,Ishita Das,"108, Bannerghatta Rd, Kolkata, India",ishita.das870@gmail.com,917149190586,917149190185,CUST200033,static,22.56214,88.35003,,,Reyansh Kumar
TCP,172.25.34.190,13304,221.86.3.15,443,2025-08-23-11:13:27,2025-08-23-11:14:14,47,155.14.112.174,26554,BRAS-011,user0167,SUB100167,Vivaan Singh,"146, MG Road, Mumbai, India",vivaan.singh607@gmail.com,918103865719,918103865826,CUST200167,dynamic,19.07698,72.8412,,SUB276696,Arjun Tiwari
TCP,192.168.105.244,58502,115.176.34.14,80,2025-08-23-11:01:06,2025-08-23-11:04:10,184,22.56.97.56,33598,BRAS-007,user0128,SUB100128,Vivaan Bose,"241, Park Street, Chennai, India",vivaan.bose826@example.in,919700886008,919700886840,CUST200128,static,13.09574,80.25942,,,Diya Rao
TCP,172.17.203.180,3474,113.155.45.215,80,2025-08-25-00:54:28,2025-08-25-00:56:49,141,95.204.153.126,52466,CGNAT-005,user0233,SUB100233,Ananya Iyer,"195, Bannerghatta Rd, Lucknow, India",ananya.iyer225@gmail.com,916392827229,916392827275,CUST200233,static,26.8379,81.00432,+919799417549,SUB527295,Myra Kumar
TCP,39.113.164.35,13489,187.129.65.241,22,2025-08-23-19:03:52,2025-08-23-19:08:02,250,39.113.164.35,0,BRAS-010,user0021,SUB100021,Saanvi Nair,"156, JLN Marg, Mumbai, India",saanvi.nair447@yahoo.com,919850142940,919850142965,CUST200021,static,19.05603,72.88466,,,
ICMP,172.28.79.204,0,52.135.36.109,0,2025-08-24-01:19:51,2025-08-24-01:21:11,80,223.46.55.232,7463,CGNAT-004,user0107,SUB100107,Aadhya Gupta,"64, Nehru Marg, Kolkata, India",aadhya.gupta981@outlook.com,918786527858,918786527497,CUST200107,dynamic,22.56277,88.39398,+918473927775,SUB531408,Ishaan Yadav
TCP,10.1.13.89,3909,223.51.52.199,5222,2025-08-29-12:08:04,2025-08-29-12:10:28,144,79.156.120.192,62125,CGNAT-004,user0077,SUB100077,Aadhya Nair,"154, MG Road, Kolkata, India",aadhya.nair696@yahoo.com,917037788925,917037788466,CUST200077,dynamic,22.57099,88.41694,+919781438212,SUB856487,Vivaan Reddy
TCP,26.100.242.126,35140,79.254.189.254,5222,2025-08-29-21:01:41,2025-08-29-21:02:45,64,26.100.242.126,0,BRAS-010,user0196,SUB100196,Arjun Mehta,"186, Church Street, Pune, India",arjun.mehta352@outlook.com,917096520744,917096520660,CUST200196,dynamic,18.50625,73.87048,+917693231253,,Ayaan Yadav
UDP,172.21.34.84,19804,197.213.96.23,53,2025-08-26-04:17:00,2025-08-26-04:18:11,71,51.87.155.40,13642,BRAS-009,user0128,SUB100128,Vivaan Bose,"241, Park Street, Chennai, India",vivaan.bose826@example.in,919700886008,919700886840,CUST200128,static,13.09574,80.25942,+917961568033,,Myra Shah
ICMP,192.168.29.78,0,52.226.65.67,0,2025-08-25-12:45:16,2025-08-25-12:49:18,242,3.231.221.34,63827,BRAS-011,user0013,SUB100013,Diya Das,"246, JLN Marg, Delhi, India",diya.das59@outlook.com,919234309805,919234309097,CUST200013,static,28.62987,77.21996,,404451261057546,Pari Tiwari
